file,n_basis,approx,signature,n_samples,n_candidates_per_circle,circle_candidate_threshold,angular_r,angular_s,angular_k,axis_r,axis_s,axis_k,symmetric_support_threshold,r_circle,cx_circle,cy_circle,cz_circle,nx_circle,ny_circle,nz_circle,theta_adjust,phi_adjust
files/sym_test/mesh1_man_sim.off,100,robust,heat,50,1000,0.0005,0.015,0.03,10,0.25,0.5,40,0.01,0.2241636326876434,0.0,0.0,0.0,1.0989953032997067e-16,4.538838762040853e-17,0.9999999999999998,-1.5815438884152455,-1.5330454354827332
files/sym_test/mesh1_man_sim.off,100,robust,heat,50,1000,0.0005,0.015,0.03,10,0.25,1.0,40,0.01,0.2241636326876434,0.0,0.0,0.0,1.0989953032997067e-16,4.538838762040853e-17,0.9999999999999998,-1.5815438884152455,-1.5330454354827332
files/sym_test/mesh1_man_sim.off,100,robust,heat,50,10,0.0005,0.015,0.03,10,0.25,0.5,5,0.01,0.2230844963551517,0.0,0.0,0.0,-7.326892266837111e-17,4.531524451056344e-17,1.0,-1.5343244844698267,-1.546175453732049
files/sym_test/mesh1_man_sim.off,100,robust,heat,10,500,0.0005,0.015,0.03,10,0.25,0.5,5,0.01,0.2238942153873708,0.0,0.0,0.0,-5.525302126727493e-17,-1.4317215443119133e-17,1.0,-1.8911340799759453,-1.3894787187006428
files/sym_test/mesh1_man_sim.off,100,robust,heat,100,500,0.0005,0.015,0.03,10,0.25,0.5,5,0.01,0.2244491547885172,0.0,0.0,0.0,7.61785140898367e-17,7.649320276770589e-17,1.0,-2.1706398126437003,-1.1902198674836395
files/sym_test/mesh1_man_sim.off,100,robust,heat,500,100,0.5,0.015,0.03,10,0.25,0.5,5,0.01,0.2334260778540207,0.0,0.0,0.0,1.258781694475242e-17,-8.507415380231601e-17,0.9999999999999998,-1.722030770158924,-1.2963481229594938
files\Larco\01_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0940873483569073,0.0,0.0,0.0,-8.070761579236819e-18,-1.3169627692059343e-16,1.0,-1.4785595571021557,-1.2878823972377198
files\Larco\03_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2167937048447534,0.0,0.0,0.0,-9.020677161747095e-17,4.113899514280833e-18,1.0,-1.72280974943292,0.8936248991091879
files\Larco\04_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0742643523876222,0.0,0.0,0.0,-5.776365837923647e-17,-2.1066170871877082e-17,1.0,-1.8391138138668472,-1.5167646565853106
files\Larco\05_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.078099378922004,0.0,0.0,0.0,5.878725820223487e-17,1.935045256550959e-17,1.0,-1.9780291163161363,1.4685712965152442
files\Larco\06_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0886025313329313,0.0,0.0,0.0,5.2488213410211204e-17,-1.065547224462793e-16,1.0,-1.912232192215162,-1.5102795406875535
files\Larco\08_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.177960568857735,0.0,0.0,0.0,4.30745419121687e-17,-1.1490527918553384e-16,1.0,-1.6555825309627152,1.45666994212801
files\Larco\09_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0375458731555039,0.0,0.0,0.0,-1.0374007252980086e-16,-1.3226653200661096e-17,1.0,-1.5500724459561113,-1.4889224775494778
files\Larco\10_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.1742596325529791,0.0,0.0,0.0,-3.0537076917352545e-17,-3.052749301289612e-17,1.0,-1.6394568961302722,1.347069443054376
files\Larco\12_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.3226125588627752,0.0,0.0,0.0,-8.011493422933334e-17,-3.825019432455842e-18,1.0,-1.131724154659064,0.0426541505361803
files\Larco\13_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2268803889217744,0.0,0.0,0.0,8.985680741664031e-17,7.354644114572347e-17,1.0,-1.5914489058003156,0.8050471771257658
