iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.10812546126544476,8.985680741664031e-17,7.354644114572347e-17,1.0,0.0,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.10198528226465123,-0.0073011382418684285,-0.08684939190500462,0.9961946980917455,0.08726646259971634,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.09126082994043888,-0.037141094252202383,-0.16806848945383604,0.9850753889781506,0.17298487498306667,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.07556524593383163,-0.04384970522040119,-0.25303424770757543,0.9664630737069809,0.2597155184327592,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.05870380625128746,-0.07065555418163413,-0.3319380166012112,0.9406513412514438,0.34625185755003013,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.040591417811811525,-0.06931164529638602,-0.4128825222714221,0.9081431157197067,0.4319691286575954,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.024378670612350134,-0.05962676077118137,-0.4904558432947065,0.869423783420959,0.5167614776986464,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.011730627156794588,-0.05154318636884314,-0.5644202690075565,0.8238768475156856,0.6025786670916313,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.004078980244231161,-0.03809870780166774,-0.6337223194382747,0.7726218417244081,0.6878357366820174,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.0026515645440673245,-0.006208024276135281,-0.6948295782984288,0.7191476326570326,0.7682214675118259,2023-07-16_10:42:42,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.002437410643325182,-0.013476633536612322,-0.6735577082707954,0.7390117684973045,0.7391940391311237,2023-07-16_10:42:42,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
14,0.002392505441094626,-0.021374876214892435,-0.6783264918629284,0.7344496477660879,0.7459409377933051,2023-07-16_10:42:42,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
16,0.0023901144450070447,-0.019675829266250715,-0.6796672110275462,0.7332566699299243,0.7476971047903789,2023-07-16_10:42:42,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
