iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.10628917254507542,-5.776365837923647e-17,-2.1066170871877076e-17,1.0,0.0,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.10428806021809676,-0.01905976839898244,-0.0850461564238686,0.9961946980917455,0.08726646259971634,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.10284289345145324,-0.009645086071698875,-0.17107704456777723,0.9852104430712376,0.17219847012333997,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.10029070172458887,-0.02090934124169084,-0.2555531492291857,0.9665688735769862,0.25930321429687336,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.09724805224686946,-0.047536149448663106,-0.33464329301943707,0.9411451433932502,0.3447938750322123,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.09365404862910656,-0.05198754078452528,-0.41529872403406265,0.9081983623740227,0.43183714905175835,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.08920685574412346,-0.03507445991857595,-0.4918667571449615,0.8699637207821482,0.5156675824277674,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.08462752774357865,-0.02214671302264936,-0.5652621259913713,0.8246140018348024,0.6012768088779693,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.07896325923502498,-0.01158646304979694,-0.6346083721999917,0.7727470270455089,0.6876385293270691,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.0737625202164057,0.012301285534732177,-0.6971528387260982,0.7168169904726978,0.7715698027623185,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
10,0.06724425731226803,-0.01753902479527628,-0.7534704390319997,0.657247807234194,0.8536351063376917,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
11,0.06037284387275679,-0.02937431984542431,-0.8072007639285087,0.5895456522160525,0.9403000976162905,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.05377266742289129,-0.04345046609199328,-0.8545106141855762,0.5176134341770681,1.026737037109483,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
13,0.04813094809651533,-0.04660666802230281,-0.8962581477540166,0.44107726203058567,1.1139976737209085,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
14,0.044671572744847066,-0.05618086334589314,-0.9306814564982798,0.3614909917604454,1.2009297959938414,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
15,0.04440922942012709,0.004699846948255599,-0.9529444288799109,0.3031086057923848,1.2628432911850909,2023-07-13_12:37:28,0.08748866352592401,0.7,16,0.001,0.001,1000,6
17,0.044114593416453296,-0.044323006233331394,-0.9403104617436523,0.33741918536722154,1.2266223780756604,2023-07-13_12:37:28,0.0612420644681468,0.48999999999999994,16,0.001,0.001,1000,6
19,0.04394197277724759,-0.037508328314011505,-0.9500381090884384,0.309872097141309,1.2557378216878108,2023-07-13_12:37:28,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
21,0.0439171320758767,-0.03251788597296705,-0.947374745384101,0.3184708446628337,1.2466804252177641,2023-07-13_12:37:28,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
23,0.04391355346888304,-0.031467999598969704,-0.9481170293920462,0.3163603381873915,1.2489060258051805,2023-07-13_12:37:28,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.10819857753813267,-5.776365837923647e-17,-2.1066170871877076e-17,1.0,0.0,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.10331412777304756,-0.0614703855661578,-0.16240406800752788,0.9848077530122081,0.17453292519943253,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
2,0.09597704280167911,-0.08951241278251752,-0.3285691619439193,0.9402286071894019,0.3474953420272096,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
3,0.08782785106450322,-0.10324317932353376,-0.4864318762276946,0.8675971851687703,0.5204466026198207,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.07934668846428453,-0.028338669803122957,-0.6198994847554324,0.7841693366829253,0.6694399330095052,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
5,0.06899078376591207,0.03858906098865613,-0.7374824592356216,0.6742629358727895,0.8308301472865495,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
6,0.05771659361198562,0.06994246737923009,-0.840537824098274,0.5372189660809122,1.0036599336362928,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
7,0.046414229786023505,-0.03343446620189312,-0.9092733883046229,0.414854241620867,1.1430137234525743,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
8,0.045616287272423506,-0.053512465701099035,-0.966403065404526,0.2513991471571135,1.3166707685034593,2023-07-13_12:38:00,0.17632698070846498,0.7,16,0.001,0.001,1000,6
10,0.0444041183218367,-0.05133900841078768,-0.9283793415766214,0.3680707871444783,1.193863034008862,2023-07-13_12:38:00,0.12342888649592547,0.48999999999999994,16,0.001,0.001,1000,6
12,0.04405683791265027,-0.02561070146766981,-0.9564468497699113,0.29078087202487457,1.2757534525509446,2023-07-13_12:38:00,0.08640022054714783,0.48999999999999994,16,0.001,0.001,1000,6
