iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
19.0,0.005131012992933528,-0.005989089665981975,0.9996744434903783,0.024801972445261333,0.0056868377553665654,2023-07-12_18:22:15,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.004706935666036034,-0.0016739170518623875,0.9998168574965207,0.019064350696667582,0.0019385541514003247,2023-07-12_18:22:15,10,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.00500043091597051,0.0016004546767259562,0.9998090307382013,0.0194766680714773,0.005114953450791869,2023-07-12_18:22:15,15,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005486787296831804,-0.007674735708024555,0.9997754559921989,0.019751861365520828,0.004165116707389091,2023-07-12_18:22:15,20,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.005171562312171574,-0.004793930136580516,0.9998423625133853,0.01709585790470053,0.0028905593721701974,2023-07-12_18:22:15,25,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005794105702079838,-0.006258916388258592,0.9996709946726602,0.024874251261474363,0.005873364835682392,2023-07-12_18:22:15,30,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.0053326370543800294,-0.001645408341368873,0.999758100909263,0.021932448511141178,0.002920378815935516,2023-07-12_18:25:08,5,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005669333040714268,-0.008831070505862574,0.9997798627544981,0.019032556956888744,0.005360788448155252,2023-07-12_18:25:08,10,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005907009472139967,-0.0033461202711218625,0.9997771080608745,0.020845567312157875,0.0011719578360049447,2023-07-12_18:25:08,15,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0052627503173425854,-0.006430116390833513,0.9997777323274737,0.020078335223186933,0.0029462994715416806,2023-07-12_18:25:08,20,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.005738149862736788,-0.0036155488593673075,0.9997596033196764,0.0216255260405159,0.0019434212729962205,2023-07-12_18:25:08,25,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005220683873631221,-0.006539718623643931,0.9997854391794544,0.019654711523425506,0.0030296850709812194,2023-07-12_18:25:08,30,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005049736355431378,0.0008577602064341913,0.9996464679837088,0.026574485792280486,0.00815861476688722,2023-07-12_18:28:00,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005374156986363238,-0.00431133262235968,0.9998447117243192,0.017086978900093218,0.0027194622502871653,2023-07-12_18:28:00,10,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.00525352288968939,-0.003132483509335693,0.9999076367122273,0.013225187773049865,0.00647213484850369,2023-07-12_18:28:00,15,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.004985596984624863,-0.0030308204427378156,0.9996798168298225,0.025121264907172633,0.00545831239143509,2023-07-12_18:28:00,20,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005809964146466126,-0.0022781014612417217,0.9998168081408286,0.0190042209210983,0.0014079742777747674,2023-07-12_18:28:00,25,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005610393243841827,-0.0021041411193274203,0.9997432331665949,0.02256192207578237,0.0032023097994706485,2023-07-12_18:28:00,30,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.005421946058050855,-0.005412467589261554,0.9996635534550198,0.025367007870029396,0.005993173562533223,2023-07-12_18:30:53,5,0.268,0.7,16,0.0001,0.0001,1000,6
