iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
17.0,0.0034469778183847666,0.0006086093264985599,0.9999739588209126,0.0071910551881823525,0.00423334835339808,2023-07-12_16:31:32,5,0.268,0.7,16,0.0001,0.0001,1000,6
27.0,0.0035045470576744505,0.003776628335203622,0.9999542533366864,0.008787964058177224,0.006897531274696067,2023-07-12_16:31:32,10,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.0033726404653864313,0.0014564120492644309,0.9999821016991058,0.005803028983390907,0.0031477664792075783,2023-07-12_16:31:32,15,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.0032796969171613455,8.20723634004779e-05,0.9999998086674208,0.0006131306949642454,0.002385133633940819,2023-07-12_16:31:32,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.003480031678918967,-0.0033070337991834148,0.9999619490158808,0.008072425150603826,0.006073055055912133,2023-07-12_16:31:32,25,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.003380173642654825,0.0009295096163395967,0.9999954910957262,0.0028554859640169327,0.00091189592271012,2023-07-12_16:31:32,30,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0033145834458991946,0.0026933590897767414,0.999980758622298,0.005588219930099153,0.003716351759243203,2023-07-12_16:34:17,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0036815167986796894,-0.004553874117824629,0.9999308802820334,0.010839598189832902,0.009083020533216154,2023-07-12_16:34:17,10,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.0038371891714634398,-0.004688053390520523,0.9999421886382975,0.009676855721722654,0.008176992035635117,2023-07-12_16:34:17,15,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0033792100730355885,0.0008455331052216329,0.9999815651498503,0.006012855746148867,0.003123890480464436,2023-07-12_16:34:17,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0031285665463656187,0.0026128741347541473,0.9999965864384074,-5.371322337936017e-07,0.003958136991086338,2023-07-12_16:34:17,25,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.0035271961824039537,-0.005111852670766574,0.9999848912015906,0.0020214674905340096,0.00523250350233865,2023-07-12_16:34:17,30,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.0034456051653260636,0.004218935218255118,0.9999711939326333,0.006309666438746447,0.005341117705409284,2023-07-12_16:36:55,5,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.003302115714177891,0.006610196179790131,0.9999740515216238,0.0028638418066703167,0.006582837650814722,2023-07-12_16:36:55,10,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.0035597392707135776,-0.0006385757477126506,0.9999629032498643,0.008589781435930172,0.005631897334536581,2023-07-12_16:36:55,15,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.003300372220110148,-0.0006998992217964089,0.9999891483790427,0.004605786060622495,0.0017655169425947405,2023-07-12_16:36:55,20,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.0035233359085395932,9.874100418384792e-05,0.9999773603336791,0.006728229358580486,0.003731267743682692,2023-07-12_16:36:55,25,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.0035188178881075723,0.0015982916286651065,0.9999951803867486,0.002661703804652563,0.001605079883771047,2023-07-12_16:36:55,30,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.0033065601601265787,-0.004388995958914381,0.9999812654379948,0.0042667888978632305,0.004596469987802594,2023-07-12_16:39:53,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0035784453502858376,0.00044495931721463735,0.9999810856649496,0.006134356001618998,0.003164217020557292,2023-07-12_16:39:53,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0033478621626272997,0.0033563080966269947,0.9999862422965826,0.0040311801647854245,0.0034843638591524847,2023-07-12_16:39:53,15,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.003647495876066743,-0.0010868542090025977,0.9999720166457836,0.007401666926632016,0.0045431746529132865,2023-07-12_16:39:53,20,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0030904379673305895,0.0006711202739337677,0.9999840360829351,0.0056104524649231,0.0026906166939231644,2023-07-12_16:39:53,25,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.003460808715318668,0.0012101984459447087,0.9999863679271838,0.005079308960954043,0.0023935569093516147,2023-07-12_16:39:53,30,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.0030689180712215602,0.0010697000185004657,0.9999796141468467,0.006295000603169436,0.003457779126921617,2023-07-12_16:42:35,5,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0033968787756756425,0.0015054685074114662,0.9999907996760212,0.0040167309948195284,0.0017942049235189301,2023-07-12_16:42:35,10,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0036523457383747324,-0.0024839527332318496,0.9999448202777919,0.01020717289134092,0.007635026080767677,2023-07-12_16:42:35,15,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0031705058063389514,0.00213996163181059,0.9999904308539949,0.0038155949282307647,0.0022641083794194042,2023-07-12_16:42:35,20,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.003628222621046051,0.0013192567157699158,0.9999949282501618,0.0028987990050202126,0.0012942726824094655,2023-07-12_16:42:35,25,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.0035292790853420465,-0.003086588076325685,0.9999840873129168,0.004722085873855776,0.0035607869539763725,2023-07-12_16:42:35,30,0.268,0.7,16,0.0001,0.0001,1000,6
24.0,0.00322872609831475,0.000716920459994415,0.9999969299300002,0.002371951860490478,0.0009300939766031589,2023-07-12_16:45:18,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.003404733899515122,0.0002517219586167425,0.999967160023568,0.008100340144438741,0.005107628835468489,2023-07-12_16:45:18,10,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.003238529548981138,0.003219489119289973,0.9999939478478201,0.0013187712243567834,0.0036054699273520216,2023-07-12_16:45:18,15,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.0034120295895265786,0.0013531894657718895,0.9999787628452133,0.0063751656313016415,0.0036279345904640815,2023-07-12_16:45:18,20,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0034825334441852297,0.0015598772379732404,0.9999812117066181,0.0059281545835137735,0.00330640151954485,2023-07-12_16:45:18,25,0.268,0.7,16,0.0001,0.0001,1000,6
11.0,0.003532964503393637,-0.002888313774949425,0.999974154256712,0.0065839548989113615,0.0046229134289187184,2023-07-12_16:45:18,30,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.003628016042057425,0.002646547111884722,0.9999941048939041,0.0021876850376848374,0.0027402284509560684,2023-07-12_16:48:01,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0033612256520428145,0.0036261296683149616,0.99997833913133,0.005492945637374517,0.004378102585975004,2023-07-12_16:48:01,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0033763960236697847,0.0012663631997302134,0.9999819652608796,0.005870730553816792,0.0031283141621841265,2023-07-12_16:48:01,15,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.0033168610534634597,-0.0007408149388646288,0.9999942514121686,0.003308826958750321,0.0008301074540600445,2023-07-12_16:48:01,20,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.0036128696519883673,-0.0015615357128612767,0.9999662735286547,0.008063089447173908,0.005309285575523738,2023-07-12_16:48:01,25,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.0033608239027682098,0.0026014827673418125,0.9999828026284288,0.00525611404025134,0.003423396217356075,2023-07-12_16:48:01,30,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.003721362561919855,-0.001189307292405445,0.9999765397050873,0.006745782949705429,0.003941126308731071,2023-07-12_16:50:25,5,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.003462709428277093,0.002650535260363275,0.9999888430268784,0.003910049181119221,0.002775999125625608,2023-07-12_16:50:25,10,0.268,0.7,16,0.0001,0.0001,1000,6
11.0,0.003318560135085192,0.001985385654658353,0.9999721526194175,0.007193902243594757,0.004630049621233598,2023-07-12_16:50:25,15,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.0036748657585123946,0.0003424239794860086,0.9999612014517028,0.008802177973962653,0.005813091652614605,2023-07-12_16:50:25,20,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.003475243982393705,-0.003265341365849055,0.9999483674596442,0.009622887329509595,0.007399134829782264,2023-07-12_16:50:25,25,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0029445354593930404,0.0007013850353027086,0.9999981118656996,0.001812270417925305,0.0013629313950329167,2023-07-12_16:50:25,30,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.0034947937238034394,0.0022869727582441406,0.999970840840591,0.007286098006792453,0.0048467327570548575,2023-07-12_16:53:23,5,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.0034433401306159794,8.749414905983185e-05,0.9999611304152544,0.008816462069378795,0.005819204059237468,2023-07-12_16:53:23,10,0.268,0.7,16,0.0001,0.0001,1000,6
11.0,0.0039690561825418535,-0.0015260151370028378,0.9999726076972542,0.007242591591086918,0.004520764542954042,2023-07-12_16:53:23,15,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.0032928433502092957,0.00034167991675724586,0.9999705693496511,0.007664443187139266,0.004677328712284605,2023-07-12_16:53:23,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0036660538753498237,-0.0006461191935338012,0.9999703667699376,0.007671252308742961,0.004722136138726068,2023-07-12_16:53:23,25,0.268,0.7,16,0.0001,0.0001,1000,6
