iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
14.0,0.005468666844535619,-3.185260861393188e-05,0.999998739756285,-0.0015872842383375016,0.0020935935069166,2023-07-12_17:26:30,5,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.005701872985810045,-0.0008184717971320562,0.9999982576773719,0.0016777205184377033,0.0032755684861687853,2023-07-12_17:26:30,10,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005563167855143552,-0.0018518547628729978,0.9999981070987878,0.000597019914569354,0.0019467230960610884,2023-07-12_17:26:30,15,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005076283821837431,-0.003320239601571643,0.9999909691283655,-0.002652860852103113,0.0017911653612105209,2023-07-12_17:26:30,20,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0055642013903720285,-0.0029199509530902774,0.9999957309297798,0.0001095839720383828,0.0016540516179170965,2023-07-12_17:26:30,25,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005329492967576671,-0.0012074446459969653,0.9999866686621827,0.005020415852991726,0.0064167373522977635,2023-07-12_17:26:30,30,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.006250287347938892,-0.004384027289247584,0.9999877129168807,0.002313940360805055,0.004297504343942319,2023-07-12_17:29:26,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005224986234681083,0.0015396906938026206,0.9999980620298964,-0.0012269022042733185,0.0036511080526887537,2023-07-12_17:29:26,10,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.005236420664005127,-0.004123032532783808,0.9999809977387284,-0.0045830954813233125,0.003823509777475669,2023-07-12_17:29:26,15,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005065330595243849,-0.0005041669240094527,0.9999987631452798,-0.001489806572441546,0.0016134057962565527,2023-07-12_17:29:26,20,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.005230637616478049,-0.0065445230747414075,0.9999613506979191,0.005870803021513424,0.008459056427497186,2023-07-12_17:29:26,25,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005056246300228133,0.0017304899953072923,0.999995388542791,-0.002495655731157933,0.004012653754162176,2023-07-12_17:29:26,30,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.006032415898517896,-0.002911298502334725,0.9999956044820391,0.0005615671212944523,0.0020566604750629574,2023-07-12_17:32:12,5,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.005647922225762441,-0.00047511999982581326,0.9999958840444936,0.0028295149862568956,0.004471586159365398,2023-07-12_17:32:12,10,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.005898135364987253,-0.00671255450058992,0.9999764654383713,0.0014178086818955468,0.005361844349673581,2023-07-12_17:32:12,15,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005511256807949557,-0.001601764885988723,0.9999976170819367,0.0014833002724108622,0.0028613059746916605,2023-07-12_17:32:12,20,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005411513848230396,-0.00045263965861385016,0.9999817510753162,0.006024336783727042,0.007541246421365915,2023-07-12_17:32:12,25,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005638169124723672,-0.0032439096911439616,0.9999918541069919,0.0024018263002007424,0.0039027476586680643,2023-07-12_17:32:12,30,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005465999536683195,-0.00516447938179143,0.999976065123741,0.004604056076438606,0.006676386787491302,2023-07-12_17:35:03,5,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005927809339482631,0.0005118733591974991,0.9999822390846078,0.005937971118026686,0.007728794722244443,2023-07-12_17:35:03,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005107530450914058,-0.0009465430642019285,0.9999986829996467,0.0013183532152214483,0.002894916043817772,2023-07-12_17:35:03,15,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005958108697086728,0.0008452576337867742,0.9999958160481563,-0.0027664825526544836,0.0032846799059565454,2023-07-12_17:35:03,20,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.006009828706737894,-0.0030900081422780908,0.999992579428859,0.0023006383674801806,0.0037630514346826244,2023-07-12_17:35:03,25,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.005970365775283554,0.00024874963101609147,0.9999979550212779,0.0020070069465075472,0.004088480356394047,2023-07-12_17:35:03,30,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.005539085599594985,-0.0031106431705336026,0.9999926908696963,0.0022230848497531053,0.0036937669940351097,2023-07-12_17:37:51,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005224417080171621,-0.00029594802293887626,0.9999965365981416,0.0026151876584807284,0.0043445192707814734,2023-07-12_17:37:51,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005851558526046574,0.0021306060328561602,0.999991665500177,-0.003482735722782839,0.00475449817597588,2023-07-12_17:37:51,15,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005936321453191576,-0.0018302387978258365,0.9999869411439563,0.004771558183318789,0.00611050424086059,2023-07-12_17:37:51,20,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005517219542525827,0.00709282001000594,0.9999731018761738,-0.0018674657825079695,0.009218304863418805,2023-07-12_17:37:51,25,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005304132355377079,0.001375784870958924,0.9999978061376964,-0.0015795365721764795,0.003494414967550777,2023-07-12_17:37:51,30,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.005659037793521069,0.0019466965663696727,0.9999957226479027,-0.0021829013668514165,0.004144759887062523,2023-07-12_17:40:43,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0051793563761760916,-0.002812603133725159,0.9999953111566063,-0.0012111682022512764,0.0007131200237063104,2023-07-12_17:40:43,10,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005493723321706226,-0.0032393783266182474,0.9999914850292493,0.002556618284672007,0.0040498451307686215,2023-07-12_17:40:43,15,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.00533713080221788,0.0010753452959678129,0.9999993805916159,-0.0002871391285899525,0.003352395463044404,2023-07-12_17:40:43,20,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005698269698768854,0.0029210652578605333,0.9999945732797508,-0.001523413538136929,0.005034578202896799,2023-07-12_17:40:43,25,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005784689041321275,0.0012135196363619763,0.9999976309140711,-0.0018070795049935004,0.003357118393587552,2023-07-12_17:40:43,30,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.005552390357479516,-0.00243393166996524,0.9999956240050222,0.0016816502110684698,0.003031546120016571,2023-07-12_17:43:38,5,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.006178412237204899,-0.005604528774055351,0.9999834929172493,0.0012661556928681534,0.00435498300892247,2023-07-12_17:43:38,10,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0059723126469189945,-0.0019585666154716807,0.9999941855611172,0.002791569589109525,0.004126874587146361,2023-07-12_17:43:38,15,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0055779101094233325,0.010364155985390427,0.9999437181285235,0.0022682253006363158,0.012983541644195913,2023-07-12_17:43:38,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005595359718428198,0.0032931308204784205,0.9999928094638322,-0.0018805079183836597,0.0054307435013587445,2023-07-12_17:43:38,25,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.005942436051555041,-0.0018950679615346595,0.9999964571732057,-0.001869320319788821,0.0005781829696063424,2023-07-12_17:43:38,30,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.0053628437453880915,0.004378685097290686,0.9999805784006209,-0.0044350804252147056,0.007192211122907671,2023-07-12_17:46:30,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005256384494715876,0.0004932531649655239,0.9999982368705358,-0.0018118932460824415,0.0026469109621150375,2023-07-12_17:46:30,10,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.006385634536855214,-0.005626718044722271,0.99998288423525,-0.001603521311345215,0.0035272861980080155,2023-07-12_17:46:30,15,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.006082184903789682,-0.0034678157022447593,0.999990140684937,0.00277358741978732,0.00432483670243886,2023-07-12_17:46:30,20,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.005556307092774664,-0.0014619144883379024,0.9999921888633048,-0.0036721953114407123,0.0024277449995523557,2023-07-12_17:46:30,25,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005439613305499219,0.003433644315368551,0.9999928706196485,0.001571240462254695,0.006258014322077354,2023-07-12_17:46:30,30,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005352491862141764,-0.000358166259436773,0.999995547416041,0.0029625774290178396,0.004638585941873609,2023-07-12_17:49:05,5,0.268,0.7,16,0.0001,0.0001,1000,6
12.0,0.005556980322580785,-0.0024443520614516653,0.9999969006638469,0.0004730810714160353,0.0018363237072373789,2023-07-12_17:49:05,10,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.0056475776946173445,0.00045120164435184893,0.9999995900396498,-0.0007850717219566105,0.0026189487465797397,2023-07-12_17:49:05,15,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005668497760780192,-0.0006670968649168849,0.9999991198317735,-0.0011468729010655693,0.0014546875433152835,2023-07-12_17:49:05,20,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005741870380007894,0.003790618756998467,0.9999863746823626,-0.0035891028216610173,0.006317305631975258,2023-07-12_17:49:05,25,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005615034839138389,0.0011189079875985723,0.9999917586018154,-0.0039026623430546683,0.004126835152285182,2023-07-12_17:49:05,30,0.268,0.7,16,0.0001,0.0001,1000,6
18.0,0.006400439888238907,0.006512634620483377,0.9999763951698012,-0.0021896788599223187,0.008665072417078881,2023-07-12_17:52:21,5,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.005545861669816361,-0.001666944815805409,0.9999976728847103,0.001369496310591297,0.0027380883340710526,2023-07-12_17:52:21,10,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005681181966793079,-0.0015301635245452815,0.9999946840866384,0.002879305133611784,0.004251544778256327,2023-07-12_17:52:21,15,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005787020374555141,-0.004006316822987419,0.9999862460816917,0.0033848298273527855,0.005084295530980788,2023-07-12_17:52:21,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005361571442335844,0.0006601230761723424,0.9999986299608178,-0.001517996710066881,0.0027762138354785154,2023-07-12_17:52:21,25,0.268,0.7,16,0.0001,0.0001,1000,6
24.0,0.005917914968449622,-0.0006638838891608154,0.999993856603921,-0.0034418036839047273,0.0025573404292943123,2023-07-12_17:52:21,30,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005592756497208029,-0.006748765741117983,0.9999772131247556,-0.00016550594802873503,0.0047834676081959316,2023-07-12_17:54:55,5,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005225788801908544,-0.0021031440081520237,0.9999856084056118,0.004935561461421955,0.0062681115079240585,2023-07-12_17:54:55,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005034285830335025,0.0055986405267989155,0.9999814887239713,-0.002382736586819207,0.007779773867525929,2023-07-12_17:54:55,15,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.005315692687872959,-0.005834077798590521,0.9999794108664684,-0.002672335942830471,0.003957905191566529,2023-07-12_17:54:55,20,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.005695168045349442,0.004268855619681626,0.9999798836461129,-0.004691393695358527,0.007209082039321083,2023-07-12_17:54:55,25,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005665704957209531,0.0020847986249587325,0.9999924862104395,-0.003268200935926806,0.0046197708085957525,2023-07-12_17:54:55,30,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005391196347773375,-2.819367978587679e-05,0.9999971321667849,0.0023947574662852964,0.004269205664203468,2023-07-12_17:58:02,5,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.005617252783849997,0.007276796003978135,0.9999734004711353,-0.0004965784035209649,0.009423897033762273,2023-07-12_17:58:02,10,0.268,0.7,16,0.0001,0.0001,1000,6
23.0,0.005435819097329085,-0.004884896200008789,0.9999877890563241,-0.0007480156148642886,0.002835915469193013,2023-07-12_17:58:02,15,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.006148929533084388,-0.0021356685711016116,0.9999905985814337,0.003773813522204473,0.005106414038036066,2023-07-12_17:58:02,20,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005050768901128322,-0.0060139302386674025,0.9999788464778064,0.0024777489784229265,0.00545528626766974,2023-07-12_17:58:02,25,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.00565941858803878,0.0014297041029181442,0.9999988744296928,0.0004550665066159946,0.003965377262336577,2023-07-12_17:58:02,30,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005810766713693792,-0.0014412604059874576,0.9999966396180272,0.0021548830816224968,0.0035509290385554565,2023-07-12_18:00:39,5,0.268,0.7,16,0.0001,0.0001,1000,6
13.0,0.004675944102929042,-0.0013337680170547208,0.9999980589706674,-0.0014502130100359613,0.000784991930423622,2023-07-12_18:00:39,10,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005547176930122082,-0.0018263652217891497,0.9999900494075791,-0.004070070749304734,0.0027521968167171108,2023-07-12_18:00:39,15,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.005355610628612841,0.002760265690151777,0.9999839401784284,-0.004949779646137001,0.0060665634153796695,2023-07-12_18:00:39,20,0.268,0.7,16,0.0001,0.0001,1000,6
14.0,0.00588215212337685,0.002609957791015316,0.9999963372904442,0.0007166073018286861,0.0051454777253401255,2023-07-12_18:00:39,25,0.268,0.7,16,0.0001,0.0001,1000,6
19.0,0.005843758000993298,0.002715122637784225,0.9999926957183026,0.0026900964859655203,0.006281907132486343,2023-07-12_18:00:39,30,0.268,0.7,16,0.0001,0.0001,1000,6
17.0,0.0053738652495678,0.00630775823967741,0.99997940234275,0.001186202438960206,0.008786441086231342,2023-07-12_18:03:33,5,0.268,0.7,16,0.0001,0.0001,1000,6
22.0,0.005036572867539684,-9.029840756620096e-05,0.9999968669676516,0.0025015797166522357,0.004333489847839551,2023-07-12_18:03:33,10,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.006025074806530187,-0.0014516037849391225,0.9999982704404565,0.0011627392428698328,0.002580637733700703,2023-07-12_18:03:33,15,0.268,0.7,16,0.0001,0.0001,1000,6
20.0,0.005859653581866277,-0.003133360930783962,0.9999935201509277,0.0017724856652252883,0.0032693450768742013,2023-07-12_18:03:33,20,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.00566377374343721,0.002847278995541459,0.9999872639710059,-0.004167121080932229,0.00571039449005152,2023-07-12_18:03:33,25,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005924897093791813,0.003025769412124351,0.9999916548644728,0.0027449810341389396,0.0065575309441687525,2023-07-12_18:03:33,30,0.268,0.7,16,0.0001,0.0001,1000,6
16.0,0.005245574051515222,-0.0037937064072440336,0.999992391556736,0.0009080860835319258,0.0028027871243880027,2023-07-12_18:06:13,5,0.268,0.7,16,0.0001,0.0001,1000,6
15.0,0.005279739736579655,-0.002404493395034789,0.999996712610636,0.0008906062171702287,0.0022425681636107407,2023-07-12_18:06:13,10,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.005122520611621447,0.004562525023327094,0.9999885960148017,0.0014111009025259088,0.007214489968600153,2023-07-12_18:06:13,15,0.268,0.7,16,0.0001,0.0001,1000,6
21.0,0.005545696709306129,0.0009858330977411932,0.9999869688278237,0.005009022623675146,0.007056842574535138,2023-07-12_18:06:13,20,0.268,0.7,16,0.0001,0.0001,1000,6
