iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.02037326991558075,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:50:51,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.013892232440412502,-0.02194753556705536,0.0843470756839193,0.9961946980917455,0.08726646259971634,2023-07-16_13:50:51,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.010525010817219231,-0.022878343059682737,0.17086335431018407,0.985029083617695,0.1732536923464432,2023-07-16_13:50:51,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.010334527469240129,-0.028960587449745365,0.25584693993659113,0.9662834096162719,0.2604142111036177,2023-07-16_13:50:51,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.010154154268094212,-0.04937745249045855,0.19954043214822875,0.9786447175168579,0.20703490690243975,2023-07-16_13:50:51,0.0612420644681468,0.48999999999999994,16,0.001,0.001,1000,6
7,0.009977612819056958,-0.027351944864698375,0.21961387681280226,0.9752033717247751,0.22315819570073628,2023-07-16_13:50:51,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
10,0.009973550739232454,-0.02977885944088494,0.21914864220865712,0.9752369415421577,0.22300645853399745,2023-07-16_13:50:51,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
11,0.0099734290270139,-0.03224057729544212,0.21933087593832237,0.9751176913766791,0.22354501580178177,2023-07-16_13:50:51,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.020556577015668154,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:51:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.010384847060777247,-0.025505407626000013,0.171764850271752,0.9848077530122081,0.17453292519943253,2023-07-16_13:51:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.00988427828997374,-0.028616052776656766,0.2308283249269408,0.9725735992380763,0.23474536731785203,2023-07-16_13:51:13,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
6,0.009876539697870612,-0.03425970990874229,0.21132545642752737,0.9768151430760408,0.21575451134905319,2023-07-16_13:51:13,0.020744692953370187,0.24009999999999995,16,0.001,0.001,1000,6
8,0.009858933801297745,-0.035406196172322525,0.2160516637825345,0.9757397603097896,0.22072141939908582,2023-07-16_13:51:13,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
9,0.00984879373572767,-0.03692369423743697,0.22066867727288253,0.9746496681754406,0.22564648626451242,2023-07-16_13:51:13,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
0,0.02066590217873454,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:51:39,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.012234813417308399,-0.11584441972590315,0.2314462540767283,0.9659258262890684,0.2617993877991489,2023-07-16_13:51:39,0.2679491924311227,0.7,16,0.001,0.001,1000,6
4,0.010783870238810778,-0.024538971023989466,0.23680029262823887,0.9712484029908438,0.24037653351886104,2023-07-16_13:51:39,0.09190657300387507,0.3429999999999999,16,0.001,0.001,1000,6
7,0.010683549800888795,-0.03757608732137012,0.20874569535120138,0.9772478049778163,0.21372411847690484,2023-07-16_13:51:39,0.03152395454032915,0.3429999999999999,16,0.001,0.001,1000,6
9,0.010677418380510851,-0.029948603159069425,0.21628429248520784,0.975870988396004,0.22012121986121777,2023-07-16_13:51:39,0.010812716407332895,0.24009999999999995,16,0.001,0.001,1000,6
11,0.010675514000468737,-0.031286171481815984,0.2141029830378989,0.9763099344615332,0.21810179968785878,2023-07-16_13:51:39,0.0025961332094006275,0.16806999999999994,16,0.001,0.001,1000,6
12,0.010673973709345566,-0.03306454562556685,0.21224377484236892,0.9766572151288477,0.21649096383514518,2023-07-16_13:51:39,0.0025961332094006275,0.16806999999999994,16,0.001,0.001,1000,6
0,0.02077530836686492,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:52:03,0.36397023426620234,0.7,16,0.001,0.001,1000,6
1,0.014746843837201599,-0.06013698809293678,0.3366917300790456,0.9396926207859085,0.34906585039886545,2023-07-16_13:52:03,0.36397023426620234,0.7,16,0.001,0.001,1000,6
3,0.014120717300102115,0.03576752357676163,0.11334440257550389,0.9929117436418948,0.11913560440924953,2023-07-16_13:52:03,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
5,0.010637367435265993,-0.0410078845507321,0.2095523809096845,0.9769371285091771,0.21518396830774814,2023-07-16_13:52:03,0.12484179035330739,0.3429999999999999,16,0.001,0.001,1000,6
10,0.010630181059241295,-0.037651176474293536,0.21062899796055917,0.976840731198404,0.21563495527337637,2023-07-16_13:52:03,0.0035264715815656283,0.16806999999999994,16,0.001,0.001,1000,6
11,0.01063004886964336,-0.034561908909111906,0.2089932405516132,0.9773061443868519,0.21344888878524734,2023-07-16_13:52:03,0.0035264715815656283,0.16806999999999994,16,0.001,0.001,1000,6
0,0.02034269506111741,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:52:28,0.4663076581549986,0.7,16,0.001,0.001,1000,6
2,0.013975057518110347,-0.07665342329678485,0.3006859892663993,0.9506377798908323,0.3155115113618153,2023-07-16_13:52:28,0.32641536070849897,0.48999999999999994,16,0.001,0.001,1000,6
5,0.011444173112977296,-0.02827887769287693,0.20424194472379992,0.9785118972663908,0.2076800577909612,2023-07-16_13:52:28,0.11196046872301513,0.3429999999999999,16,0.001,0.001,1000,6
9,0.011421561357565562,-0.03153934286013593,0.21669616407030454,0.9757294923948782,0.22076831417514636,2023-07-16_13:52:28,0.013172037184794,0.24009999999999995,16,0.001,0.001,1000,6
11,0.011419682647101585,-0.03232004778362052,0.21369805312318843,0.9763649710034785,0.21784729844141967,2023-07-16_13:52:28,0.003162606128069039,0.16806999999999994,16,0.001,0.001,1000,6
0,0.020196070661768317,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:53:00,0.5773502691896257,0.7,16,0.001,0.001,1000,6
2,0.017953855218366246,-0.015338407473222666,0.3743873387121825,0.9271455408231195,0.38407469977730324,2023-07-16_13:53:00,0.404145188432738,0.48999999999999994,16,0.001,0.001,1000,6
4,0.01639951532706658,0.09021847720445964,0.1279654702065568,0.9876666769744351,0.15721805587304674,2023-07-16_13:53:00,0.28290163190291656,0.48999999999999994,16,0.001,0.001,1000,6
5,0.016264196485282142,-0.06233835085995884,0.35030482000865387,0.9345589671555056,0.3637788107816203,2023-07-16_13:53:00,0.28290163190291656,0.7,16,0.001,0.001,1000,6
6,0.014194311224855885,-0.04908076557159837,0.08262059690367769,0.9953717473477864,0.09624787982558085,2023-07-16_13:53:00,0.28290163190291656,0.7,16,0.001,0.001,1000,6
8,0.012575203320011864,0.022101922301058743,0.2617911694514358,0.9648714363208435,0.26584274175272093,2023-07-16_13:53:00,0.19803114233204158,0.48999999999999994,16,0.001,0.001,1000,6
10,0.011701357550919844,-0.061421191577781836,0.15447269522043192,0.9860860123014124,0.16701122397720863,2023-07-16_13:53:00,0.1386217996324291,0.48999999999999994,16,0.001,0.001,1000,6
12,0.011166550102644458,-0.02421017105749793,0.21047271918467805,0.9772999038659393,0.2134783465799121,2023-07-16_13:53:00,0.06792468181989025,0.3429999999999999,16,0.001,0.001,1000,6
14,0.011142455623485148,-0.028430110660302148,0.18800251304658952,0.9817569882083906,0.1913047366790744,2023-07-16_13:53:00,0.023298165864222353,0.24009999999999995,16,0.001,0.001,1000,6
16,0.011125779827126082,-0.028373315850710287,0.19349356917095803,0.9806911815842536,0.19683129211830172,2023-07-16_13:53:00,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
17,0.011116593726910652,-0.03396414273666031,0.19351466517032181,0.9805093122312413,0.19775911310393063,2023-07-16_13:53:00,0.005593889623999785,0.16806999999999994,16,0.001,0.001,1000,6
0,0.021295614540576935,-7.452137291588265e-17,-5.0012901695050664e-18,1.0000000000000002,0.0,2023-07-16_13:53:25,0.08748866352592401,0.7,16,0.001,0.001,1000,6
