iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.2614803919568658,-1.1933716434897329e-16,-9.189973784547617e-19,1.0,0.0,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.2548676189035194,0.005476663798413873,0.0869835021572201,0.9961946980917455,0.08726646259971634,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.24979079514741898,0.03565087726663023,0.1680861309345132,0.9851274372067734,0.17268222390181043,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.24500513449311345,0.1054352751726082,0.218258584345363,0.9701786397920923,0.2448296111124407,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.2402778659015894,0.17249693699698218,0.26923889498462283,0.9474994586563722,0.32547340249258006,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.23637177981436414,0.2490755842685373,0.3011199463036822,0.9204825534790728,0.4014827965483027,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.23384684696793573,0.3208822868753061,0.3361567356109792,0.8854564964316677,0.48332093367526746,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.23294289410114488,0.3793824246687096,0.38394633105600195,0.8418160076412932,0.5701574352151833,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.232273729518056,0.4075279015637266,0.45121692661292223,0.7939296534234342,0.6535511867914197,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.230281338095665,0.43075544394448084,0.5160437191923729,0.740370601384399,0.7371748087523304,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
10,0.22684321925044276,0.40960288108467635,0.5886716860023177,0.6969154366968211,0.7997089913141858,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
11,0.2196814138442278,0.41307808921602357,0.6514213749219572,0.6364092115175785,0.8809622426520521,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.20662669651210308,0.39857531582656086,0.7132301368018081,0.5765765253385114,0.9562639397943475,2023-07-16_15:34:45,0.08748866352592401,0.7,16,0.001,0.001,1000,6
