iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.14928551693446934,5.573934267815529e-17,-5.262191511421191e-17,1.0000000000000002,0.0,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.1473854319192469,-0.08679708703461055,-0.007898681928157264,0.9961946980917455,0.08726646259971634,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.14528154209256172,-0.17321084465469844,-0.011613282100163269,0.9848162950382512,0.17448372676834037,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.14282267005182817,-0.2580197810625861,-0.019478196791673993,0.965943265637356,0.2617319988573544,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.13981828559190035,-0.341239965723786,-0.019634101251067453,0.9397711358947411,0.3488362151356868,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.13672841247171405,-0.42182957235006996,-0.0163484269238498,0.9065277385872273,0.43581157250417923,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.1332365116104484,-0.49920441656159414,-0.018461439461582026,0.8662875537247459,0.5230742374151416,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.12954380991868675,-0.572681889344084,-0.022806607910775923,0.8194603786961845,0.6103274670292476,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.12506830436177552,-0.6419484344183948,-0.020593707213070533,0.766471204136851,0.6974675155987591,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.1202972626779232,-0.7059978497393895,-0.010317049683908723,0.7081388244187563,0.7839375666709687,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
10,0.11524126119911796,-0.7650294893331452,-0.010669378635903124,0.6439068603534137,0.8712026507635454,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
11,0.11070405738428242,-0.8176494055130192,-0.02221001054604656,0.575287897574554,0.9578402481843297,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.10880760895088315,-0.8519479393561825,-0.07811656996334253,0.5177668491936468,1.0265577235025636,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
13,0.10523247579112847,-0.8940030892857171,-0.056324705561945146,0.44450647227116297,1.1101730914788872,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
14,0.10263765137642858,-0.9236722342012169,-0.001833401445979452,0.38317912574260893,1.1775606507918903,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
15,0.10140547296032373,-0.9531084954120044,0.012742236718087979,0.3023604328891025,1.2636283007467215,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
16,0.10113198589533735,-0.9758504957913536,0.011199178080662597,0.21815221354386238,1.3508756474761996,2023-07-14_21:36:48,0.08748866352592401,0.7,16,0.001,0.001,1000,6
18,0.10113095073029409,-0.9608022513552318,0.005731843765374044,0.27717535921825265,1.2899432945265046,2023-07-14_21:36:48,0.0612420644681468,0.48999999999999994,16,0.001,0.001,1000,6
20,0.10107805812731396,-0.9681041144263255,0.016192284320659906,0.2500244659214359,1.318090803275381,2023-07-14_21:36:48,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
22,0.10104219079948962,-0.966836154307468,0.007439412170246496,0.25528906335859136,1.312649665592993,2023-07-14_21:36:48,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
0,0.14250187203288078,5.573934267815529e-17,-5.262191511421191e-17,1.0000000000000002,0.0,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.14170265221036982,-0.17180727436311805,0.025218050736765012,0.9848077530122081,0.17453292519943253,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
2,0.13946297159418525,-0.3319821791300373,-0.029247897352208296,0.9428321129663257,0.3397676885250222,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
3,0.13565519126132242,-0.48585331719362007,0.015002848237955129,0.873911590904197,0.5076041711107142,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.1294415208976726,-0.6299770358983217,0.02369234195587547,0.7762522832001273,0.6820972345948305,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
5,0.12494544684887035,-0.7341647309920948,0.11373296735543932,0.669378039603804,0.8374250367546201,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
6,0.11650404101237763,-0.8191713521225429,-0.00446939712112354,0.5735314466976494,0.9599860097665025,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
7,0.11075321678072214,-0.9033409121522866,-0.045492523484074086,0.42650395864390955,1.1301723140782793,2023-07-14_21:37:22,0.17632698070846498,0.7,16,0.001,0.001,1000,6
