iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.11288253776729107,4.007040210591653e-17,-1.0495817151079335e-16,1.0,0.0,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.10891434364020966,0.037505522774844736,-0.07867311647114023,0.9961946980917455,0.08726646259971634,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.10474004223942895,0.06143883164803679,-0.16180210714451104,0.9849088019148374,0.17395004431929792,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.09935067966580544,0.07227028898385329,-0.2463803240720129,0.9664749046097161,0.25966944495327593,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.09082094766199664,0.05394325906626644,-0.3283794314663706,0.9430042808975646,0.33925070550067515,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.08072654809802833,0.04864633891857568,-0.4093873976955986,0.9110628366462133,0.424941537632453,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.07045123539865017,0.05113922403303047,-0.4872369487085483,0.8717711486270253,0.5119903242644427,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.06073467992246236,0.0546678571166098,-0.5612996255043604,0.8258051560791703,0.599167921369035,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.052266532555222525,0.051902612256524774,-0.6312927407416214,0.7738059151543625,0.6859685395031752,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.045804728753864946,0.06592036300719677,-0.6950493306570776,0.7159336098369369,0.7728359081098489,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
10,0.039091707207263085,0.05126298157083458,-0.7547371602871288,0.6540213495002967,0.8579081275187692,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
11,0.03415274061262609,0.0772110082057468,-0.8052924283827974,0.587828686779736,0.9424241070509536,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.030182068236173573,0.052261976220490204,-0.8530444746984738,0.5192146088352422,1.0248646018027006,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
13,0.028640229720623207,0.040706180171731395,-0.8952331205733068,0.44373490591163256,1.1110342464385312,2023-07-14_02:45:43,0.08748866352592401,0.7,16,0.001,0.001,1000,6
16,0.028623582329601056,0.014801321677013387,-0.9024880989115986,0.4304603956225729,1.1257935400747392,2023-07-14_02:45:43,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
18,0.0285880512092271,0.022523600859893595,-0.8994085523830351,0.4365282846558254,1.1190600704991762,2023-07-14_02:45:43,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
20,0.028585055377334356,0.024107746496627322,-0.8985456390225536,0.4382174701588297,1.1171816950655145,2023-07-14_02:45:43,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
21,0.02858488820493239,0.026568245212884246,-0.8983920001872304,0.4383901713609638,1.1169895543915105,2023-07-14_02:45:43,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.1113995909690857,4.007040210591653e-17,-1.0495817151079335e-16,1.0,0.0,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.10250059515237897,0.042150911693982634,-0.16845471275809396,0.9848077530122081,0.17453292519943253,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
2,0.09224078245460987,0.10850191939768433,-0.32330650669756994,0.940053315623126,0.348009716757243,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
3,0.07431904040277004,0.10356308126163125,-0.4826897118274965,0.8696466698007216,0.5163101727354202,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.05641513504087976,0.032555657864777744,-0.6178846451149413,0.7855944847516273,0.6671399886209299,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
5,0.04242784809321222,0.0364224254037258,-0.7448560623017652,0.6662303305764598,0.8416539237164293,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
6,0.03339628130197552,-0.0254388637442862,-0.8435065234195839,0.5365161779107939,1.004492950227518,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
7,0.030389095889405117,0.04664350586814192,-0.9171063886237711,0.39590435120846185,1.1637438655143606,2023-07-14_02:46:13,0.17632698070846498,0.7,16,0.001,0.001,1000,6
10,0.030334454961122418,0.018167899126469426,-0.8955415170089552,0.44460692612084884,1.1100609466061737,2023-07-14_02:46:13,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
