iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,desviacion,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
2.0,8.196460828472238e-19,-0.0248817469737123,0.9734267353697352,0.2276428991533793,0.0763243245878448,2023-06-25_22:42:56,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,1
1.0,3.8591012879410464e-19,-0.0067483940021868,0.996407569599192,-0.0844180929885447,0.3290393653781317,2023-06-25_22:42:56,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,1
1.0,1.5942849066739192e-19,-0.0626909631723073,0.9355854938749172,0.3474904700669583,0.1623073064495707,2023-06-25_22:42:56,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,1
1.0,2.357918661137268e-18,0.0858008411225152,0.9582521351063672,0.2727472478811794,0.0514656499184765,2023-06-25_22:42:56,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,1
1.0,1.962264112082741e-18,0.0596626009122954,0.8896407400035243,0.4527468694296647,0.2309954908386009,2023-06-25_22:42:56,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,1
7.0,3.042193224620161e-19,0.4323112649748208,0.9016715135409716,-0.0097718815325581,0.463647607496556,2023-06-25_22:42:56,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,1
7.0,0.0128076644614338,-0.000148774145526,0.8887358375576361,0.4584196646163648,0.2419689308140328,2023-06-25_22:44:28,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,2
8.0,0.0128948278725161,-0.0124558409880609,0.8821326144911269,0.4708363861006593,0.2584814528278319,2023-06-25_22:44:28,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,2
8.0,0.0128930890932693,-0.0092526028924188,0.8896028116562998,0.4566412452165496,0.2421467649565788,2023-06-25_22:44:28,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,2
4.0,0.0138888815417889,0.0337622742145918,0.9469691848207906,0.3195457273062899,0.0874686110323115,2023-06-25_22:44:28,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,2
7.0,0.0132074384018782,-0.0137350785001637,0.8829305513024686,0.4693026626765644,0.2571254401097069,2023-06-25_22:44:28,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,2
10.0,0.0069341640919458,0.0140590322817046,0.0178729052700642,0.9997414180019296,1.3129773841803485,2023-06-25_22:44:28,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,2
6.0,0.0192806934937834,-0.0255860667876713,0.8371360131328788,0.5463960548012087,0.3470990897567313,2023-06-25_22:50:07,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,3
8.0,0.0194517560303213,-0.0004522285946295,0.8569761728487002,0.5153558330502264,0.3060451976288023,2023-06-25_22:50:07,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,3
6.0,0.0192497065290808,-0.013223383345806,0.831864956806929,0.5548205437522082,0.354345484002924,2023-06-25_22:50:07,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,3
9.0,0.0197555832564838,-0.009468152598267,0.842594526356435,0.5384652432985354,0.3344277266575117,2023-06-25_22:50:07,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,3
7.0,0.0203103050589579,0.0078850482686545,0.8524804853211527,0.5226995773486073,0.31325810114077,2023-06-25_22:50:07,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,3
10.0,0.0202431287616491,-0.0017842626968522,0.8509974382677237,0.5251668082318233,0.3175942619834222,2023-06-25_22:50:07,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,3
6.0,0.0292644952423877,0.0030913225633442,0.8455597411916596,0.5338718645899059,0.3269559468653253,2023-06-25_22:57:23,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,4
8.0,0.0289894863963131,-0.0057251085290439,0.8605309497181292,0.5093659860155029,0.3001433115088571,2023-06-25_22:57:23,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,4
7.0,0.0289653851650655,0.009815479909677,0.8565976476457029,0.515891583961195,0.3051107277372813,2023-06-25_22:57:23,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,4
6.0,0.0296115595847368,-0.0157029190319186,0.8753096332494789,0.4833078359333105,0.2730596761760082,2023-06-25_22:57:23,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,4
8.0,0.028273834846915,0.0065730739118967,0.8451793575272257,0.5344423713640366,0.3271334952713184,2023-06-25_22:57:23,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,4
9.0,0.0292131938040263,0.0132222723193898,0.8549809023188097,0.5184909142741326,0.3076951939122588,2023-06-25_22:57:23,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,4
6.0,0.035446948837489,-0.0122966277356748,0.845415884516911,0.5339670169147337,0.3297419743030548,2023-06-25_23:02:54,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,5
8.0,0.0362706216983501,-0.0094680959978763,0.8705842201565004,0.4919283187342166,0.2811923860949893,2023-06-25_23:02:54,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,5
9.0,0.0361728146672258,0.0033393709014564,0.8547231558163907,0.5190733816265792,0.3097157500490519,2023-06-25_23:02:54,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,5
8.0,0.0374984154477716,-0.0196752667105126,0.8608784008150091,0.5084301947072605,0.3021428223308585,2023-06-25_23:02:54,20.0,0.3639702342662023,0.7,12,0.0001,0.01,2000,5
7.0,0.0359316915273667,0.0054774435671185,0.8386662781875304,0.5446180968743557,0.3392508739938537,2023-06-25_23:02:54,25.0,0.4663076581549986,0.7,12,0.0001,0.01,2000,5
8.0,0.0366120603866879,-0.0019543642925689,0.870810127848194,0.4916156035941331,0.2792883785842215,2023-06-25_23:02:54,30.0,0.5773502691896257,0.7,12,0.0001,0.01,2000,5
7.0,0.0424466067925098,0.0059005361569762,0.8577214736821032,0.5140807886486921,0.3035676817445044,2023-06-25_23:08:24,5.0,0.087488663525924,0.7,12,0.0001,0.01,2000,6
8.0,0.0426289606839425,0.0021272399336117,0.8557070133914552,0.5174562610336655,0.3080388901906922,2023-06-25_23:08:24,10.0,0.1763269807084649,0.7,12,0.0001,0.01,2000,6
9.0,0.0437574810348451,-0.0016808762630098,0.8654745701050577,0.5009500405793514,0.2897990187515817,2023-06-25_23:08:24,15.0,0.2679491924311227,0.7,12,0.0001,0.01,2000,6
