iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.12881858833134174,9.354778236133898e-17,-2.0033456361704512e-17,1.0,0.0,2023-07-14_05:41:11,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.12765523977577786,-0.0312215904653128,-0.08137159075938147,0.9961946980917455,0.08726646259971634,2023-07-14_05:41:11,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.12521920539438777,-0.0662572401664229,-0.16045169714886362,0.9848173592131578,0.1744775966123058,2023-07-14_05:41:11,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.12281123548746177,-0.07294961778907622,-0.24551378225438367,0.9666443689318086,0.2590086152285264,2023-07-14_05:41:11,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.12197877466678754,-0.14438725172985856,-0.29102235723087666,0.9457580605681786,0.33087617951260095,2023-07-14_05:41:11,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.1219331473112108,-0.1683607660210747,-0.3066758434535265,0.936805518507905,0.3574115874558689,2023-07-14_05:41:11,0.03000861158939193,0.3429999999999999,16,0.001,0.001,1000,6
9,0.12193167582154274,-0.15825453956639876,-0.3062439991587157,0.9387066174720958,0.3519374075502954,2023-07-14_05:41:11,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
11,0.12193116918206279,-0.16035456981854446,-0.30733439171515214,0.9379935946515768,0.3540000451514642,2023-07-14_05:41:11,0.0024713382014162587,0.16806999999999994,16,0.001,0.001,1000,6
0,0.12410230003297329,9.354778236133898e-17,-2.0033456361704512e-17,1.0,0.0,2023-07-14_05:41:33,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.11967446655035019,0.08412924280143436,0.1519077355262171,0.9848077530122081,0.17453292519943253,2023-07-14_05:41:33,0.17632698070846498,0.7,16,0.001,0.001,1000,6
2,0.11835419945418887,0.19672625980436764,0.27734895186471664,0.9404128548690343,0.34695389790343817,2023-07-14_05:41:33,0.17632698070846498,0.7,16,0.001,0.001,1000,6
3,0.11751068942248902,0.3579476622809784,0.2198282130313922,0.9074960208303989,0.4335121807942153,2023-07-14_05:41:33,0.17632698070846498,0.7,16,0.001,0.001,1000,6
6,0.11742697283625611,0.3072053697291644,0.2508617867615204,0.917983237729527,0.40783102702083274,2023-07-14_05:41:33,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
7,0.11739190109074135,0.3638400436386899,0.24005039282933283,0.8999979064128313,0.4510316147908143,2023-07-14_05:41:33,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
9,0.11737942881882277,0.34446638872731583,0.24095652607848483,0.9073493591651178,0.4338611932237607,2023-07-14_05:41:33,0.020744692953370187,0.24009999999999995,16,0.001,0.001,1000,6
0,0.12504085712134838,9.354778236133898e-17,-2.0033456361704512e-17,1.0,0.0,2023-07-14_05:41:54,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.12048525363206863,-0.178796667030229,-0.18713377559025013,0.9659258262890684,0.2617993877991489,2023-07-14_05:41:54,0.2679491924311227,0.7,16,0.001,0.001,1000,6
2,0.11753421276807793,-0.36297265187930244,-0.34305752705967174,0.8663500372917458,0.52294914305585,2023-07-14_05:41:54,0.2679491924311227,0.7,16,0.001,0.001,1000,6
6,0.11745053529739409,-0.36475056276061696,-0.31337644345318894,0.8767851684731234,0.501660703406896,2023-07-14_05:41:54,0.03152395454032914,0.24009999999999995,16,0.001,0.001,1000,6
8,0.11744308471679712,-0.35844162618257547,-0.3173948460059527,0.8779408364738754,0.49925218835901364,2023-07-14_05:41:54,0.007568901485133025,0.16806999999999994,16,0.001,0.001,1000,6
10,0.11744283884763779,-0.357470144441683,-0.31820986715118177,0.8780418989322034,0.49904105940704124,2023-07-14_05:41:54,0.001272105272606307,0.11764899999999996,16,0.001,0.001,1000,6
0,0.12013192847371101,9.354778236133898e-17,-2.0033456361704512e-17,1.0,0.0,2023-07-14_05:42:18,0.36397023426620234,0.7,16,0.001,0.001,1000,6
1,0.11689862236380577,0.27110197082682264,0.20852218072503373,0.9396926207859084,0.3490658503988658,2023-07-14_05:42:18,0.36397023426620234,0.7,16,0.001,0.001,1000,6
2,0.1168886236846447,-0.07327739519019327,0.18769511227949268,0.979490157265773,0.20288093882069258,2023-07-14_05:42:18,0.36397023426620234,0.7,16,0.001,0.001,1000,6
5,0.11664268374443157,0.05049284179238738,0.17891544962878686,0.9825679288537041,0.18699173291457774,2023-07-14_05:42:18,0.12484179035330739,0.3429999999999999,16,0.001,0.001,1000,6
6,0.1164573766291146,0.16496400603907796,0.22179271671101658,0.9610384318670537,0.28006153166931064,2023-07-14_05:42:18,0.12484179035330739,0.3429999999999999,16,0.001,0.001,1000,6
9,0.11643875949084859,0.15484969146603783,0.22298395427890147,0.9624446629219873,0.2749283079113344,2023-07-14_05:42:18,0.010281258255293378,0.16806999999999994,16,0.001,0.001,1000,6
11,0.11643658019602345,0.15378820228386492,0.22433973013380046,0.9622997840183644,0.2754614713710311,2023-07-14_05:42:18,0.0017279710749671575,0.11764899999999996,16,0.001,0.001,1000,6
12,0.11643600277602786,0.15208276766539414,0.22431410968586415,0.9625767564070263,0.27444131578751346,2023-07-14_05:42:18,0.0017279710749671575,0.11764899999999996,16,0.001,0.001,1000,6
0,0.12793775275349617,9.354778236133898e-17,-2.0033456361704512e-17,1.0,0.0,2023-07-14_05:42:41,0.4663076581549986,0.7,16,0.001,0.001,1000,6
1,0.12194697745144419,0.2855730785732471,0.31153524993317927,0.90630778703665,0.4363323129985822,2023-07-14_05:42:41,0.4663076581549986,0.7,16,0.001,0.001,1000,6
