iteration,loss,normal_x,normal_y,normal_z,angle_diff,timestamp,delta_radius,decrease_factor,phi_simmetries,epsilon_radius,chi_convergence,n_sample_points,n_angles
0,0.14280733838677406,-8.011493422933334e-17,-3.8250194324558424e-18,1.0,0.0,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
1,0.14266580715775573,0.08180676173558492,0.030062887889109997,0.9961946980917455,0.08726646259971634,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
2,0.14230031892657677,0.16664534669377978,0.04695686596965174,0.9848981577623233,0.17401153410410572,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
3,0.14176321588456725,0.25122022836857755,0.034784590264102404,0.9673047240340544,0.2564176645857659,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
4,0.14075019396841526,0.33432124127035767,0.02648454046334045,0.9420869793983424,0.34199650202065696,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
5,0.13973760604858493,0.4142814004638265,0.0126531934701384,0.9100608869327029,0.4273653871419102,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
6,0.13857195526361538,0.49202303754046744,0.01322691333730049,0.8704816938299273,0.5146161984568032,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
7,0.13758962973952388,0.5649378781142878,0.0272466134866863,0.8246834640789358,0.6011540070807041,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
8,0.13655103556812004,0.6333074079679955,0.008469621724662469,0.7738539865638089,0.6858926444764337,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
9,0.13522781245410587,0.6982459097613369,0.012611895242453848,0.7157468753686295,0.7731033348210616,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
10,0.13378198444843292,0.7555170217909706,0.0357769468206301,0.6541513890991103,0.8577362129455411,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
11,0.13179087638855091,0.8097282746013587,0.030259040942713984,0.5860243269287834,0.944652702892197,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
12,0.1303750909864912,0.8566079788585755,0.045197207333660575,0.5139844190294723,1.0309730355079194,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
13,0.1291979271918537,0.8981644150019313,0.045674379020936025,0.4372808419371816,1.1182234382177354,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
14,0.1280026864260435,0.9328965482289594,0.029273132510086782,0.35895280193298346,1.2036506467853463,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
15,0.1266678664833329,0.9607114244089392,0.025942128379775213,0.27633415457607513,1.2908186917054612,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
16,0.12504556216299642,0.9803303000348658,0.041957762567004835,0.19285240209528326,1.376728033709401,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
17,0.12343372777104394,0.9931731779668536,0.04710003908587525,0.10671750037050928,1.4638752203013854,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
18,0.12276813760399925,0.9992058546397939,0.03406527818289953,0.020669225333348005,1.5501256294715657,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
19,0.12252656184136868,0.9965375893974681,0.052355571211697274,-0.06458890834330623,1.6354302275356971,2023-07-16_08:08:33,0.08748866352592401,0.7,16,0.001,0.001,1000,6
23,0.12250451929867283,0.9971900078376068,0.042501053947766404,-0.06169075037769176,1.6325262742534958,2023-07-16_08:08:33,0.010292953775161429,0.24009999999999995,16,0.001,0.001,1000,6
0,0.1368841528892517,-8.011493422933334e-17,-3.8250194324558424e-18,1.0,0.0,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
1,0.13567012175917814,-0.17129744116870949,-0.028475889030868846,0.9848077530122081,0.17453292519943253,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
2,0.13415332697331908,-0.32333533628405775,-0.10151275775662351,0.9408237987650611,0.3457433363082489,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
3,0.1318624634295716,-0.4672483319475224,-0.02132749199133106,0.8838688445564858,0.4867262385252447,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
4,0.1291030049324043,-0.6136613621019763,-0.01659508277621756,0.7893949175734523,0.6609736147186169,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
5,0.1259023062884811,-0.7403983645281416,0.007297662906012309,0.6721287123164458,0.8337163262037723,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
6,0.12552078813314438,-0.8447376684305363,0.029941280331420756,0.5343423914183271,1.0070667592880542,2023-07-16_08:09:49,0.17632698070846498,0.7,16,0.001,0.001,1000,6
8,0.1255122646689415,-0.7806418020436168,-0.023134500907284444,0.6245503756862736,0.8962406412334772,2023-07-16_08:09:49,0.12342888649592547,0.48999999999999994,16,0.001,0.001,1000,6
9,0.1254613846540451,-0.8492509628944124,0.008763876523239065,0.527916656766197,1.014650660137965,2023-07-16_08:09:49,0.12342888649592547,0.48999999999999994,16,0.001,0.001,1000,6
10,0.12538480386138062,-0.778824914161431,0.02770614471341092,0.6266291747329988,0.8935760318333473,2023-07-16_08:09:49,0.12342888649592547,0.48999999999999994,16,0.001,0.001,1000,6
12,0.12523325160145868,-0.8086416423637779,-0.008147325796986895,0.5882451149967758,0.9419092570609046,2023-07-16_08:09:49,0.06048015438300347,0.3429999999999999,16,0.001,0.001,1000,6
14,0.12517227977514456,-0.7987492896269198,0.004208769983840054,0.6016492820370635,0.9252320176937625,2023-07-16_08:09:49,0.020744692953370187,0.24009999999999995,16,0.001,0.001,1000,6
16,0.12517221458256353,-0.7957762051686808,0.003492992589983134,0.6055807380441519,0.9203008932767306,2023-07-16_08:09:49,0.0049808007781041806,0.16806999999999994,16,0.001,0.001,1000,6
0,0.13974922895431519,-8.011493422933334e-17,-3.8250194324558424e-18,1.0,0.0,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
1,0.13910941407084537,-0.2533385022600391,0.05298019800284691,0.9659258262890684,0.26179938779914974,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
2,0.13605820387601852,-0.49410083697457047,0.07045408754091712,0.8665452004655072,0.5225582443982929,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
3,0.13072852604091237,-0.702221935101626,0.0516722810826188,0.7100805089775712,0.7811837842667443,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
4,0.12664360366761715,-0.8623094583293005,0.023212181728691477,0.5058493774783387,1.0404299990124186,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
5,0.12465540878475148,-0.963659102965568,-0.006094259880640512,0.26706552242493586,1.3004496658082174,2023-07-16_08:11:14,0.2679491924311227,0.7,16,0.001,0.001,1000,6
8,0.12459124997258254,-0.9840525587327431,-0.006757784166087897,0.17774952603229613,1.3920972410265997,2023-07-16_08:11:14,0.09190657300387507,0.3429999999999999,16,0.001,0.001,1000,6
10,0.12453929148614407,-0.9779898229162657,-0.011205600635166008,0.20835148376389354,1.3609071768713568,2023-07-16_08:11:14,0.03152395454032914,0.24009999999999995,16,0.001,0.001,1000,6
11,0.12452968023717507,-0.9710043846292583,-0.00811516628089877,0.23892389814957546,1.3295388242396107,2023-07-16_08:11:14,0.03152395454032914,0.24009999999999995,16,0.001,0.001,1000,6
13,0.1245223693549633,-0.9727761593290699,-0.008652842646012614,0.23158512939117493,1.3370895331951158,2023-07-16_08:11:14,0.007568901485133025,0.16806999999999994,16,0.001,0.001,1000,6
14,0.12450515665113984,-0.9744980949374313,-0.007854070542542519,0.22425828087103034,1.3446144620122864,2023-07-16_08:11:14,0.007568901485133025,0.16806999999999994,16,0.001,0.001,1000,6
16,0.12450391054153503,-0.9747356769393664,-0.007118391504443726,0.22324804277741095,1.3456509802014278,2023-07-16_08:11:14,0.001272105272606307,0.11764899999999996,16,0.001,0.001,1000,6
17,0.12450234778225608,-0.9749215633588849,-0.006133866720771325,0.22246420156267763,1.3464550425249247,2023-07-16_08:11:14,0.001272105272606307,0.11764899999999996,16,0.001,0.001,1000,6
18,0.12450121156871424,-0.9752037963242195,-0.006068824166609656,0.22122550713709568,1.3477253916359264,2023-07-16_08:11:14,0.001272105272606307,0.11764899999999996,16,0.001,0.001,1000,6
0,0.14016983844339848,-8.011493422933334e-17,-3.8250194324558424e-18,1.0,0.0,2023-07-16_08:12:23,0.36397023426620234,0.7,16,0.001,0.001,1000,6
1,0.13404085487127398,-0.3390342090837294,0.04509527149803042,0.9396926207859084,0.3490658503988658,2023-07-16_08:12:23,0.36397023426620234,0.7,16,0.001,0.001,1000,6
2,0.12695431709289656,-0.6361307882482905,0.09204326020574766,0.766071575306972,0.698089489544655,2023-07-16_08:12:23,0.36397023426620234,0.7,16,0.001,0.001,1000,6
3,0.1215623822063216,-0.8560375022273901,-0.008654546100184207,0.5168412653920845,1.0276392636768408,2023-07-16_08:12:23,0.36397023426620234,0.7,16,0.001,0.001,1000,6
5,0.12155177630484255,-0.9484632548981283,0.08447312531065258,0.30542060377174773,1.2604162190404353,2023-07-16_08:12:23,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
6,0.12125360593199783,-0.848454347210112,0.03598505972338803,0.5280438392567106,1.0145009027109755,2023-07-16_08:12:23,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
7,0.12121819891035558,-0.9525331750728828,0.038099201378643976,0.3020413899449577,1.2639629924529723,2023-07-16_08:12:23,0.25477916398634165,0.48999999999999994,16,0.001,0.001,1000,6
9,0.1206205822527421,-0.9076915413094977,0.03957034460861035,0.4177681817261145,1.1398088498842853,2023-07-16_08:12:23,0.12484179035330739,0.3429999999999999,16,0.001,0.001,1000,6
12,0.12060809694230704,-0.9039018078045621,0.03523697291198422,0.42628614519785235,1.1304131151034529,2023-07-16_08:12:23,0.010281258255293378,0.16806999999999994,16,0.001,0.001,1000,6
